Product,Size/Amount (ml/g/units),Unit of Measurement,Co Op,Tesco,Sainsburys,Asda,Morrisons,Aldi,Waitrose,Iceland
White Rum,700,ml,14,15,14,16.5,13,9.99,17,15
Rum,700,ml,14.5,13.75,15.5,15.5,13,13.75,16,15
Vodka,700,ml,14.5,15,13,15.5,13,9.75,16,15
Coffee liqueur,700,ml,16.5,15,15,13,15,x,15,13
Gin,700,ml,19,21,18,17,20.5,15,19,20
Sweet Vermouth,750,ml,6.35,5.75,5.85,5.85,5.85,x,12,x
Campari,700,ml,x,15.5,16,15.5,15.5,x,17,x
Tequila,700,ml,x,26,25,15,21,x,27.5,x
Triple Sec,350,ml,9.5,8.25,12,8,9.25,x,x,x
Aperol,700,ml,7,15,16,15,15,x,16,x
Prosecco,750,ml,7,11,8,7,7.5,7.99,6.99,7
Cola,1000,ml,1,1.45,1.5,1,1.65,1.89,2,1.5
Sparkling Water,,,0.49,0.5,0.55,0.4,0.5,0.3,1.1,0.35
Sugar,~,0,0.74,0.65,1.6,0.65,0.65,0.65,0.65,0.65
Salt,~,0,1.45,0.95,0.95,0.9,1,0.27,0.9,1
Pepper,~,0,1,3,3,0.69,2,1.19,3,1
Golden Caster Sugar ,~,0,2.3,1.9,1.9,2.1,1.5,1.09,1.5,2.25
Lime **,2,Unit,1.5,0.2,0.6,0.8,0.92,0.95,0.7,x
Lime Juice ,~,0,2.25,1.99,2.25,2.1,2.25,x,0.85,x
Lemon ,2,Unit,1.5,1.2,0.6,0.8,92,0.75,0.7,3
Pineapple Jjuice **,1000,ml,1.7,0.9,1.25,0.8,0.85,0.65,1.5,0.95
Pineapple ,1,Unit,1.15,0.75,1.5,0.9,0.69,0.75,1.7,1
Orange ,4,Unit,1,2,1.85,1.25,2,1,2.75,2
Tomato Juice ,400,g,0.4,0.85,0.85,0.85,0.85,0.35,1,0.5
Coconut Cream **,200,ml,1,2,0.8,1.35,1.35,x,1,x
Worcestershire Sauce ,290,ml,1.2,1.7,1,0.76,2.8,0.65,2.8,2.8
Tabasco sauce ,57,ml,1.5,2.1,2.1,2.1,2,x,1.57,1.75
Celery Sticks,~,0,0.65,0.43,0.5,0.4,0.49,0.29,0.7,0.89
Mint Leaves ,~,0,0.75,0.7,0.75,0.39,0.75,0.36,0.75,x
Ice,~,0,1.2,1,1,1.29,0.89,0.79,1.2,1
Freshly Brewed Expresso Coffee ,310,ml,2,1.7,2,1.59,1.9,x,1.9,1.59
Coffee Beans ,250,g,2.65,3.7,,2.75,3.75,2.29,2.35,3
Cream ,250,g,1.6,1.05,,0.89,1.1,1,1.2,1.1
